id,gender,age,age_o,race,race_o,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,match
0,female,21,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,2,4,Law,15.0,20.0,20.0,15.0,15.0,15.0,6,8,8,8,7,6.0,9.0,7.0,7.0,6.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,2,4.0,7.0,6.0,0,0
1,female,21,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,2,4,Law,15.0,20.0,20.0,15.0,15.0,15.0,6,8,8,8,7,7.0,8.0,7.0,8.0,5.0,6.0,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,7.0,5.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,2,4.0,7.0,5.0,1,0
10,female,24,27,European/Caucasian-American,European/Caucasian-American,2,5,law,45.0,5.0,25.0,20.0,0.0,5.0,7,5,10,8,3,5.0,7.0,8.0,4.0,6.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,5,3.0,6.0,4.0,0,0
100,male,27,21,European/Caucasian-American,Asian/Pacific Islander/Asian-American,7,3,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8,9,7,8,5,6.0,8.0,8.0,8.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,9.0,7.0,7.0,6.0,5.0,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.14,7,3,0.0,7.0,4.0,0,0
1000,male,24,,Other,,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,7.0,6.0,6.0,6.0,8.0,5.0,,,,,,,5.0,5.0,9.0,5.0,5.0,4.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,,5,1,5.0,6.0,5.0,0,0
1001,male,24,,Other,,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,,,,,,,,,,,,,,,,,,,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,,5,1,5.0,,,,0
1002,male,24,29,Other,Other,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,5.0,6.0,7.0,6.0,5.0,5.0,5.0,20.0,25.0,15.0,15.0,20.0,2.0,10.0,10.0,5.0,,5.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,0.29,5,1,5.0,5.0,5.0,0,0
1003,male,24,28,Other,European/Caucasian-American,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,6.0,7.0,8.0,6.0,5.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0,6.0,8.0,8.0,8.0,8.0,5.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,0.28,5,1,5.0,6.0,6.0,0,1
1004,male,24,26,Other,Latino/Hispanic American,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,6.0,5.0,6.0,4.0,5.0,5.0,30.0,10.0,20.0,20.0,10.0,10.0,7.0,7.0,8.0,6.0,8.0,6.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,0.26,5,1,5.0,6.0,5.0,0,0
1005,male,24,24,Other,Asian/Pacific Islander/Asian-American,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,5.0,6.0,6.0,7.0,6.0,5.0,5.0,15.0,45.0,25.0,0.0,10.0,3.0,7.0,4.0,2.0,3.0,2.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,0.16,5,1,5.0,5.0,5.0,0,0
